station_id,longitude,latitude,charge_count,TAZID,area,perimeter
1001,113.784724,22.714121,20,559,5726523.056,9624.5755
1002,113.785002,22.7259,22,558,3927542.045,8189.3687
1003,113.787971,22.735538,6,558,3927542.045,8189.3687
1004,113.788126,22.693449,11,596,2972113.241,7335.1002
1005,113.788126,22.693449,11,596,2972113.241,7335.1002
1008,113.791756,22.698816,44,596,2972113.241,7335.1002
1006,113.790987,22.731351,10,594,2044150.527,5825.1986
1007,113.790987,22.731351,10,594,2044150.527,5825.1986
1013,113.796557,22.728199,28,594,2044150.527,5825.1986
1009,113.794798,22.716747,72,595,3387279.995,7579.4307
1010,113.794798,22.716747,72,595,3387279.995,7579.4307
1011,113.795042,22.716825,65,595,3387279.995,7579.4307
1012,113.795042,22.716825,65,595,3387279.995,7579.4307
1014,113.802875,22.689785,12,598,2111843.466,6822.822
1015,113.804285,22.743436,12,587,2884903.761,6882.2666
1017,113.806362,22.747566,6,587,2884903.761,6882.2666
1028,113.814955,22.734709,12,587,2884903.761,6882.2666
1031,113.816086,22.735424,12,587,2884903.761,6882.2666
1032,113.816457,22.737977,10,587,2884903.761,6882.2666
1038,113.816985,22.733921,80,587,2884903.761,6882.2666
1039,113.816985,22.733921,79,587,2884903.761,6882.2666
1016,113.806076,22.673562,22,553,3375350.041,8497.3686
1018,113.813599,22.77499,6,576,2674997.258,6996.8152
1023,113.814083,22.773128,32,576,2674997.258,6996.8152
1024,113.814433,22.773105,38,576,2674997.258,6996.8152
1025,113.814433,22.773105,24,576,2674997.258,6996.8152
1026,113.814433,22.773105,62,576,2674997.258,6996.8152
1042,113.819783,22.771169,19,576,2674997.258,6996.8152
1043,113.822971,22.768229,15,576,2674997.258,6996.8152
1019,113.813758,22.668147,13,552,3220526.259,8122.5987
1020,113.813758,22.668147,13,552,3220526.259,8122.5987
1035,113.816868,22.659092,36,552,3220526.259,8122.5987
1021,113.813893,22.732382,12,588,2727566.75,6521.8358
1022,113.814009,22.732434,12,588,2727566.75,6521.8358
1027,113.81453,22.73241,17,588,2727566.75,6521.8358
1033,113.816864,22.732245,38,588,2727566.75,6521.8358
1034,113.816864,22.732245,33,588,2727566.75,6521.8358
1036,113.816951,22.732771,55,588,2727566.75,6521.8358
1037,113.816951,22.732771,55,588,2727566.75,6521.8358
1029,113.81544,22.70772,78,592,3721212.728,9690.8819
1030,113.81544,22.70772,78,592,3721212.728,9690.8819
1040,113.817222,22.703489,10,592,3721212.728,9690.8819
1041,113.819553,22.747975,12,585,3455179.415,7751.1877
1044,113.823965,22.731323,6,584,2592298.944,6711.4272
1049,113.825795,22.733191,8,584,2592298.944,6711.4272
1058,113.829739,22.7304,24,584,2592298.944,6711.4272
1060,113.829897,22.732951,17,584,2592298.944,6711.4272
1045,113.824374,22.647778,36,1029,29682209.72,25724.1136
1046,113.824877,22.763476,30,580,3836020.245,8158.3482
1052,113.8273,22.752012,8,580,3836020.245,8158.3482
1074,113.837761,22.742158,12,580,3836020.245,8158.3482
1047,113.82565,22.727942,20,589,3552752.123,7593.7928
1048,113.82565,22.727942,20,589,3552752.123,7593.7928
1050,113.826349,22.716272,10,589,3552752.123,7593.7928
1053,113.82838,22.728282,6,589,3552752.123,7593.7928
1054,113.82838,22.728282,12,589,3552752.123,7593.7928
1055,113.82838,22.728282,11,589,3552752.123,7593.7928
1056,113.828819,22.71482,4,589,3552752.123,7593.7928
1059,113.829771,22.722116,22,589,3552752.123,7593.7928
1061,113.830914,22.720581,10,589,3552752.123,7593.7928
1063,113.832858,22.724242,1,589,3552752.123,7593.7928
1064,113.833016,22.722722,12,589,3552752.123,7593.7928
1065,113.833452,22.727181,4,589,3552752.123,7593.7928
1066,113.833747,22.721038,10,589,3552752.123,7593.7928
1067,113.833747,22.721038,10,589,3552752.123,7593.7928
1057,113.829524,22.771198,17,575,3061268.967,7383.3287
1062,113.832054,22.713874,12,582,3932985.579,9728.5705
1068,113.83419,22.71301,12,582,3932985.579,9728.5705
1087,113.842774,22.7206,6,582,3932985.579,9728.5705
1088,113.84363,22.726903,8,582,3932985.579,9728.5705
1069,113.834711,22.641907,82,1031,4911242.789,9786.1921
1070,113.834711,22.641907,82,1031,4911242.789,9786.1921
1071,113.834988,22.634927,18,1031,4911242.789,9786.1921
1073,113.837596,22.633479,12,1031,4911242.789,9786.1921
1075,113.83804,22.625504,18,1031,4911242.789,9786.1921
1079,113.840037,22.637503,15,1031,4911242.789,9786.1921
1080,113.840979,22.63656,12,1031,4911242.789,9786.1921
1081,113.841113,22.637101,6,1031,4911242.789,9786.1921
1084,113.841443,22.636479,3,1031,4911242.789,9786.1921
1086,113.842376,22.637693,18,1031,4911242.789,9786.1921
1072,113.835707,22.600407,14,520,3111930.817,7352.3793
1076,113.838491,22.605773,98,520,3111930.817,7352.3793
1077,113.838491,22.605773,98,520,3111930.817,7352.3793
1089,113.843983,22.595693,12,520,3111930.817,7352.3793
1082,113.841307,22.606709,11,522,1956536.412,6419.1707
1083,113.841307,22.606709,11,522,1956536.412,6419.1707
1085,113.841816,22.606214,6,522,1956536.412,6419.1707
1090,113.846998,22.602568,9,522,1956536.412,6419.1707
1091,113.846998,22.602568,9,522,1956536.412,6419.1707
1092,113.847282,22.609198,6,522,1956536.412,6419.1707
1107,113.854665,22.611685,13,522,1956536.412,6419.1707
1109,113.855179,22.611119,13,522,1956536.412,6419.1707
1116,113.855772,22.609421,34,522,1956536.412,6419.1707
1093,113.847831,22.602124,6,519,4604265.238,8854.3041
1094,113.847831,22.602124,6,519,4604265.238,8854.3041
1102,113.850167,22.593366,12,519,4604265.238,8854.3041
1103,113.85186,22.605827,3,519,4604265.238,8854.3041
1104,113.852514,22.603132,6,519,4604265.238,8854.3041
1111,113.855288,22.607174,16,519,4604265.238,8854.3041
1113,113.855363,22.601238,6,519,4604265.238,8854.3041
1114,113.855363,22.601238,6,519,4604265.238,8854.3041
1126,113.858087,22.586088,41,519,4604265.238,8854.3041
1129,113.85835,22.585807,13,519,4604265.238,8854.3041
1138,113.860658,22.601418,26,519,4604265.238,8854.3041
1142,113.861715,22.584554,12,519,4604265.238,8854.3041
1145,113.862667,22.583094,45,519,4604265.238,8854.3041
1146,113.862667,22.583094,8,519,4604265.238,8854.3041
1148,113.863634,22.585192,15,519,4604265.238,8854.3041
1149,113.863746,22.583958,23,519,4604265.238,8854.3041
1150,113.863746,22.583958,23,519,4604265.238,8854.3041
1172,113.868511,22.585276,6,519,4604265.238,8854.3041
1095,113.848038,22.572502,12,527,2104763.882,6132.2759
1096,113.848326,22.572635,42,527,2104763.882,6132.2759
1098,113.84918,22.57424,38,527,2104763.882,6132.2759
1099,113.84918,22.57424,38,527,2104763.882,6132.2759
1100,113.849604,22.572622,24,527,2104763.882,6132.2759
1127,113.858206,22.575802,30,527,2104763.882,6132.2759
1131,113.858895,22.582831,36,527,2104763.882,6132.2759
1132,113.858895,22.582831,36,527,2104763.882,6132.2759
1097,113.84901,22.781845,24,577,1998027.015,8846.7074
1105,113.853058,22.766131,12,578,3262042.514,8507.0798
1106,113.853433,22.71356,50,601,3716735.43,9999.2932
1120,113.856308,22.730137,12,601,3716735.43,9999.2932
1110,113.855278,22.566642,30,526,3175053.094,7269.63
1115,113.855391,22.57092,26,526,3175053.094,7269.63
1121,113.856741,22.56679,75,526,3175053.094,7269.63
1123,113.85752,22.567721,3,526,3175053.094,7269.63
1124,113.857879,22.568642,6,526,3175053.094,7269.63
1136,113.859444,22.570953,18,526,3175053.094,7269.63
1137,113.859834,22.576519,12,526,3175053.094,7269.63
1139,113.860693,22.575073,6,526,3175053.094,7269.63
1144,113.86248,22.572367,13,526,3175053.094,7269.63
1154,113.864171,22.575448,14,526,3175053.094,7269.63
1160,113.864792,22.572926,3,526,3175053.094,7269.63
1163,113.866441,22.567589,41,526,3175053.094,7269.63
1166,113.867031,22.565063,12,526,3175053.094,7269.63
1174,113.869585,22.575159,3,526,3175053.094,7269.63
1112,113.855303,22.611936,13,513,7294701.075,12584.9552
1117,113.855971,22.611978,13,513,7294701.075,12584.9552
1118,113.856007,22.612175,13,513,7294701.075,12584.9552
1119,113.856092,22.612233,12,513,7294701.075,12584.9552
1122,113.857057,22.61084,16,513,7294701.075,12584.9552
1130,113.858483,22.613352,6,513,7294701.075,12584.9552
1135,113.859428,22.612197,11,513,7294701.075,12584.9552
1140,113.861156,22.612196,12,513,7294701.075,12584.9552
1147,113.863014,22.62068,12,513,7294701.075,12584.9552
1152,113.864019,22.615153,12,513,7294701.075,12584.9552
1153,113.864087,22.613655,12,513,7294701.075,12584.9552
1161,113.864927,22.613987,6,513,7294701.075,12584.9552
1164,113.866689,22.618444,30,513,7294701.075,12584.9552
1165,113.866916,22.617125,18,513,7294701.075,12584.9552
1168,113.867697,22.614744,6,513,7294701.075,12584.9552
1169,113.867997,22.614925,6,513,7294701.075,12584.9552
1170,113.868041,22.618818,36,513,7294701.075,12584.9552
1171,113.868041,22.618818,36,513,7294701.075,12584.9552
1125,113.857964,22.772703,9,570,3371908.048,13670.3384
1128,113.85828,22.773103,12,570,3371908.048,13670.3384
1134,113.859057,22.615196,24,529,988491.3026,4061.4337
1141,113.861193,22.615941,12,529,988491.3026,4061.4337
1143,113.862252,22.615362,12,529,988491.3026,4061.4337
1155,113.864174,22.625239,71,516,1485980.953,5828.7387
1156,113.864174,22.625239,71,516,1485980.953,5828.7387
1167,113.867368,22.558873,34,502,2548617.816,6842.3294
1175,113.869808,22.554753,31,502,2548617.816,6842.3294
1182,113.873174,22.554965,6,502,2548617.816,6842.3294
1184,113.874488,22.555719,6,502,2548617.816,6842.3294
1189,113.876102,22.55507,39,502,2548617.816,6842.3294
1190,113.876173,22.55723,18,502,2548617.816,6842.3294
1173,113.868922,22.578733,4,528,1606363.081,5175.1166
1180,113.872897,22.582368,10,528,1606363.081,5175.1166
1181,113.87297,22.58233,7,528,1606363.081,5175.1166
1187,113.875174,22.572823,12,528,1606363.081,5175.1166
1176,113.87032,22.818918,20,568,3215475.578,8743.0393
1177,113.871624,22.774995,22,631,3518076.274,8817.7611
1191,113.876198,22.769367,6,631,3518076.274,8817.7611
1214,113.887207,22.768778,6,631,3518076.274,8817.7611
1215,113.887207,22.768778,6,631,3518076.274,8817.7611
1178,113.871956,22.565009,12,525,1721567.81,5219.8913
1179,113.872893,22.563818,18,525,1721567.81,5219.8913
1183,113.874326,22.560145,18,525,1721567.81,5219.8913
1185,113.874745,22.561911,18,525,1721567.81,5219.8913
1193,113.877582,22.560468,12,525,1721567.81,5219.8913
1196,113.878549,22.559228,12,525,1721567.81,5219.8913
1199,113.881923,22.563732,6,525,1721567.81,5219.8913
1186,113.875053,22.766308,12,638,7008688.381,17023.4838
1237,113.891257,22.747052,10,638,7008688.381,17023.4838
1192,113.876688,22.583731,12,512,2388020.447,6230.0719
1194,113.877991,22.589083,3,512,2388020.447,6230.0719
1197,113.879062,22.587126,12,512,2388020.447,6230.0719
1200,113.88261,22.58015,40,512,2388020.447,6230.0719
1203,113.883397,22.583217,3,512,2388020.447,6230.0719
1206,113.885401,22.592395,2,512,2388020.447,6230.0719
1210,113.886492,22.5875,32,512,2388020.447,6230.0719
1211,113.886492,22.5875,32,512,2388020.447,6230.0719
1216,113.887339,22.588945,12,512,2388020.447,6230.0719
1217,113.88751,22.582992,2,512,2388020.447,6230.0719
1223,113.888424,22.583437,4,512,2388020.447,6230.0719
1230,113.88969,22.586028,3,512,2388020.447,6230.0719
1232,113.890581,22.591628,1,512,2388020.447,6230.0719
1195,113.878191,22.553755,36,501,2835686.366,7877.3746
1198,113.880254,22.547034,6,501,2835686.366,7877.3746
1222,113.888342,22.549722,2,501,2835686.366,7877.3746
1226,113.889454,22.55822,1,501,2835686.366,7877.3746
1227,113.889517,22.557863,2,501,2835686.366,7877.3746
1201,113.883162,22.766258,12,655,2070129.482,6065.6527
1219,113.88807,22.765746,12,655,2070129.482,6065.6527
1202,113.883376,22.46557,6,311,6438287.336,19362.8594
1205,113.884043,22.478603,12,311,6438287.336,19362.8594
1243,113.89208,22.487667,12,311,6438287.336,19362.8594
1244,113.89208,22.487667,12,311,6438287.336,19362.8594
1247,113.89237,22.48691,12,311,6438287.336,19362.8594
1253,113.89343,22.484426,22,311,6438287.336,19362.8594
1204,113.883612,22.513823,24,1015,3169359.988,7559.4103
1208,113.886103,22.509264,36,1015,3169359.988,7559.4103
1212,113.886514,22.508678,24,1015,3169359.988,7559.4103
1213,113.886698,22.510958,12,1015,3169359.988,7559.4103
1218,113.887706,22.509936,24,1015,3169359.988,7559.4103
1207,113.8859,22.791784,20,632,5147714.723,11720.1593
1272,113.903528,22.786988,6,632,5147714.723,11720.1593
1277,113.905269,22.786451,4,632,5147714.723,11720.1593
1220,113.888291,22.489926,10,310,4180337.833,8712.3216
1221,113.888291,22.50086,30,309,7636038.231,13147.1368
1241,113.892007,22.498369,16,309,7636038.231,13147.1368
1250,113.892546,22.49712,12,309,7636038.231,13147.1368
1252,113.892681,22.497826,20,309,7636038.231,13147.1368
1259,113.895002,22.492468,8,309,7636038.231,13147.1368
1260,113.895179,22.498206,2,309,7636038.231,13147.1368
1262,113.896128,22.502636,12,309,7636038.231,13147.1368
1319,113.916115,22.501733,24,309,7636038.231,13147.1368
1325,113.917778,22.506186,12,309,7636038.231,13147.1368
1224,113.888679,22.734406,9,637,2816252.168,7202.4292
1242,113.892075,22.724006,10,637,2816252.168,7202.4292
1246,113.892155,22.7236,6,637,2816252.168,7202.4292
1248,113.892424,22.724037,27,637,2816252.168,7202.4292
1249,113.892526,22.730822,10,637,2816252.168,7202.4292
1251,113.892555,22.730455,24,637,2816252.168,7202.4292
1225,113.889006,22.582289,12,508,2793041.383,6587.1241
1231,113.89019,22.569999,3,508,2793041.383,6587.1241
1235,113.890871,22.581447,12,508,2793041.383,6587.1241
1236,113.890974,22.581663,12,508,2793041.383,6587.1241
1240,113.891701,22.573339,6,508,2793041.383,6587.1241
1245,113.892121,22.576463,6,508,2793041.383,6587.1241
1254,113.893699,22.575293,13,508,2793041.383,6587.1241
1257,113.893979,22.578202,12,508,2793041.383,6587.1241
1228,113.889609,22.559026,2,1098,1522271.332,5189.2905
1233,113.890616,22.561747,2,1098,1522271.332,5189.2905
1238,113.891401,22.563311,6,1098,1522271.332,5189.2905
1239,113.891552,22.562918,6,1098,1522271.332,5189.2905
1255,113.893792,22.557794,6,1098,1522271.332,5189.2905
1261,113.895929,22.563381,12,1098,1522271.332,5189.2905
1263,113.896238,22.563403,26,1098,1522271.332,5189.2905
1234,113.890783,22.717825,12,643,2394926.299,6045.2351
1256,113.893869,22.723424,6,643,2394926.299,6045.2351
1266,113.899904,22.717609,16,643,2394926.299,6045.2351
1267,113.899904,22.717609,15,643,2394926.299,6045.2351
1258,113.894683,22.589161,9,511,4814293.824,13647.0529
1286,113.911116,22.594547,6,511,4814293.824,13647.0529
1264,113.899427,22.564527,6,506,3296103.406,7796.8479
1269,113.901823,22.573362,66,506,3296103.406,7796.8479
1273,113.904298,22.569964,15,506,3296103.406,7796.8479
1275,113.904602,22.573709,6,506,3296103.406,7796.8479
1278,113.905534,22.569345,8,506,3296103.406,7796.8479
1279,113.906083,22.573103,11,506,3296103.406,7796.8479
1280,113.908087,22.57373,97,506,3296103.406,7796.8479
1300,113.913595,22.572866,9,506,3296103.406,7796.8479
1301,113.913753,22.572331,10,506,3296103.406,7796.8479
1268,113.900938,22.550857,4,316,5513679.088,11176.98
1270,113.903102,22.766764,20,633,4893360.338,9941.5617
1271,113.903382,22.766855,30,633,4893360.338,9941.5617
1274,113.904372,22.768992,32,633,4893360.338,9941.5617
1330,113.918816,22.757591,53,633,4893360.338,9941.5617
1276,113.904779,22.510387,24,1067,1524820.262,5840.3244
1283,113.909934,22.513671,4,1067,1524820.262,5840.3244
1284,113.910139,22.514319,12,1067,1524820.262,5840.3244
1294,113.912663,22.512402,9,1067,1524820.262,5840.3244
1281,113.908757,22.555893,6,320,3289234.902,8135.6553
1292,113.912133,22.559756,3,320,3289234.902,8135.6553
1314,113.915283,22.570783,10,320,3289234.902,8135.6553
1323,113.917463,22.573683,6,320,3289234.902,8135.6553
1287,113.911335,22.531456,12,1095,969860.7402,3980.1424
1288,113.911597,22.532642,3,1095,969860.7402,3980.1424
1290,113.91205,22.530845,3,1095,969860.7402,3980.1424
1293,113.912189,22.529525,3,1095,969860.7402,3980.1424
1295,113.912693,22.530817,8,1095,969860.7402,3980.1424
1289,113.911978,22.51569,6,1068,1405268.834,5460.2638
1307,113.914678,22.513683,64,1068,1405268.834,5460.2638
1308,113.914747,22.511467,24,1068,1405268.834,5460.2638
1310,113.914917,22.512397,6,1068,1405268.834,5460.2638
1311,113.915048,22.515114,9,1068,1405268.834,5460.2638
1316,113.915536,22.511462,12,1068,1405268.834,5460.2638
1329,113.918524,22.517326,6,1068,1405268.834,5460.2638
1334,113.919439,22.526032,4,1068,1405268.834,5460.2638
1335,113.919662,22.522678,3,1068,1405268.834,5460.2638
1336,113.919848,22.514157,4,1068,1405268.834,5460.2638
1344,113.920759,22.512573,12,1068,1405268.834,5460.2638
1346,113.920836,22.524964,6,1068,1405268.834,5460.2638
1347,113.920863,22.513684,4,1068,1405268.834,5460.2638
1349,113.921492,22.516192,47,1068,1405268.834,5460.2638
1350,113.921492,22.516192,44,1068,1405268.834,5460.2638
1355,113.92279,22.519846,2,1068,1405268.834,5460.2638
1371,113.924111,22.523311,18,1068,1405268.834,5460.2638
1291,113.912084,22.516591,12,1066,1577892.982,5119.3013
1298,113.913398,22.525096,3,1066,1577892.982,5119.3013
1299,113.9135,22.518234,7,1066,1577892.982,5119.3013
1302,113.913782,22.523645,9,1066,1577892.982,5119.3013
1315,113.915393,22.524048,1,1066,1577892.982,5119.3013
1317,113.915755,22.52505,4,1066,1577892.982,5119.3013
1322,113.917103,22.526818,2,1066,1577892.982,5119.3013
1328,113.918138,22.526382,2,1066,1577892.982,5119.3013
1296,113.913198,22.492013,12,1082,596987.5753,3438.4864
1297,113.913198,22.492013,12,1082,596987.5753,3438.4864
1321,113.916485,22.497377,9,1082,596987.5753,3438.4864
1304,113.914255,22.490043,16,1081,1065595.451,5217.4998
1306,113.914551,22.479532,15,1081,1065595.451,5217.4998
1312,113.915138,22.478934,10,1081,1065595.451,5217.4998
1313,113.915138,22.478934,10,1081,1065595.451,5217.4998
1318,113.915928,22.480345,6,1081,1065595.451,5217.4998
1305,113.914417,22.528957,10,1096,1074909.185,4437.0676
1309,113.914835,22.529224,12,1096,1074909.185,4437.0676
1324,113.917544,22.532962,15,1096,1074909.185,4437.0676
1327,113.91798,22.531951,12,1096,1074909.185,4437.0676
1351,113.921713,22.527513,1,1096,1074909.185,4437.0676
1352,113.921721,22.528602,1,1096,1074909.185,4437.0676
1353,113.922034,22.531533,12,1096,1074909.185,4437.0676
1356,113.922847,22.533784,3,1096,1074909.185,4437.0676
1364,113.923885,22.527438,4,1096,1074909.185,4437.0676
1320,113.916163,22.553335,16,1075,1016059.384,4131.9953
1326,113.917899,22.536825,6,1074,998873.7796,4162.7267
1332,113.919175,22.538244,2,1074,998873.7796,4162.7267
1333,113.919356,22.540094,24,1074,998873.7796,4162.7267
1340,113.920228,22.535621,39,1074,998873.7796,4162.7267
1357,113.922874,22.537369,14,1074,998873.7796,4162.7267
1358,113.922874,22.537369,14,1074,998873.7796,4162.7267
1374,113.925063,22.536271,6,1074,998873.7796,4162.7267
1382,113.925693,22.536136,1,1074,998873.7796,4162.7267
1384,113.925772,22.541289,9,1074,998873.7796,4162.7267
1385,113.925772,22.541289,9,1074,998873.7796,4162.7267
1331,113.919052,22.552793,6,1076,1336615.746,4650.5369
1341,113.920625,22.554441,46,1076,1336615.746,4650.5369
1342,113.920728,22.554594,36,1076,1336615.746,4650.5369
1343,113.920728,22.554594,36,1076,1336615.746,4650.5369
1366,113.923972,22.549065,12,1076,1336615.746,4650.5369
1377,113.925335,22.546315,12,1076,1336615.746,4650.5369
1388,113.927038,22.545685,6,1076,1336615.746,4650.5369
1400,113.928799,22.551563,6,1076,1336615.746,4650.5369
1337,113.92004,22.486376,8,1083,1494891.273,7064.3429
1338,113.92004,22.486376,8,1083,1494891.273,7064.3429
1419,113.932763,22.479237,36,1083,1494891.273,7064.3429
1339,113.92015,22.505631,24,1092,570606.4698,3095.2743
1359,113.923038,22.518393,4,1085,387839.4781,2688.324
1369,113.924017,22.522602,12,1085,387839.4781,2688.324
1373,113.924843,22.524123,12,1085,387839.4781,2688.324
1383,113.92571,22.524621,16,1085,387839.4781,2688.324
1389,113.927137,22.520885,15,1085,387839.4781,2688.324
1360,113.923273,22.765474,18,659,3174568.39,7931.221
1361,113.923676,22.509203,10,1088,765505.0295,3724.5077
1365,113.923943,22.515938,2,1088,765505.0295,3724.5077
1370,113.924036,22.51264,19,1088,765505.0295,3724.5077
1372,113.924145,22.511704,32,1088,765505.0295,3724.5077
1378,113.925543,22.514911,70,1088,765505.0295,3724.5077
1379,113.925543,22.514911,69,1088,765505.0295,3724.5077
1380,113.925598,22.511655,41,1088,765505.0295,3724.5077
1381,113.925598,22.511655,41,1088,765505.0295,3724.5077
1387,113.926702,22.510845,6,1088,765505.0295,3724.5077
1362,113.92368,22.693836,20,647,3009237.62,11105.8513
1363,113.923788,22.576558,3,958,3875149.414,8824.1218
1367,113.924005,22.573024,12,958,3875149.414,8824.1218
1368,113.924005,22.573024,12,958,3875149.414,8824.1218
1375,113.925073,22.577021,12,958,3875149.414,8824.1218
1393,113.927825,22.582072,14,958,3875149.414,8824.1218
1394,113.927825,22.582072,14,958,3875149.414,8824.1218
1475,113.946877,22.581589,4,958,3875149.414,8824.1218
1479,113.947264,22.581847,4,958,3875149.414,8824.1218
1386,113.926594,22.529337,1,326,1963022.086,6447.5728
1390,113.9273,22.52641,10,326,1963022.086,6447.5728
1391,113.927618,22.526743,6,326,1963022.086,6447.5728
1392,113.927741,22.542353,12,326,1963022.086,6447.5728
1411,113.930472,22.54242,6,326,1963022.086,6447.5728
1420,113.932805,22.542201,41,326,1963022.086,6447.5728
1450,113.939946,22.540639,30,326,1963022.086,6447.5728
1395,113.928113,22.515384,7,1087,617467.4387,3330.0106
1396,113.928222,22.513089,3,1087,617467.4387,3330.0106
1398,113.928477,22.51441,6,1087,617467.4387,3330.0106
1399,113.928609,22.517165,12,1087,617467.4387,3330.0106
1409,113.930231,22.512993,12,1087,617467.4387,3330.0106
1412,113.930998,22.512933,12,1087,617467.4387,3330.0106
1415,113.931272,22.516818,12,1087,617467.4387,3330.0106
1417,113.931863,22.512717,6,1087,617467.4387,3330.0106
1397,113.92833,22.544127,5,324,1768189.627,5365.1321
1402,113.929134,22.549984,3,324,1768189.627,5365.1321
1413,113.930999,22.549061,6,324,1768189.627,5365.1321
1418,113.932639,22.549004,5,324,1768189.627,5365.1321
1421,113.9337,22.543519,17,324,1768189.627,5365.1321
1422,113.9337,22.543519,17,324,1768189.627,5365.1321
1425,113.935049,22.545405,10,324,1768189.627,5365.1321
